software	rnaseq_depth	value
cufflinks	150.0	100.0
cufflinks	300.0	100.0
cufflinks	450.0	100.0
cufflinks	600.0	100.0
cufflinks	750.0	100.0
cufflinks	900.0	100.0
cufflinks	1050.0	100.0
invas	150.0	96.41
invas	300.0	95.935
invas	450.0	96.18
invas	600.0	95.86
invas	750.0	96.03
invas	900.0	95.915
invas	1050.0	96.14
stringtie	150.0	99.94
stringtie	300.0	99.93
stringtie	450.0	99.95
stringtie	600.0	99.94
stringtie	750.0	99.92
stringtie	900.0	99.905
stringtie	1050.0	99.94
trinity	150.0	63.65
trinity	300.0	58.64
trinity	450.0	60.46
trinity	600.0	59.46
trinity	750.0	59.66
trinity	900.0	60.66
trinity	1050.0	60.185
