Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	251	na	161	833	699	3127	1114	1706	na	959	714	na	1371	1470	na	618	79	na	na	3249	na	118	264	na	528	1113	226	1439	467	235	52	1781	972	1134	na
ENSG00000005513.11	1491	na	80	49	na	1263	na	1370	91	82	27	131	215	na	na	na	494	176	na	na	876	na	222	na	na	na	259	221	na	na	74	61	na	419	na
ENSG00000006015.18	197	161	62	1186	296	2819	na	0	na	na	62	21	265	0	236	145	na	na	na	na	928	2261	0	309	583	1600	na	216	na	106	79	na	na	0	3595
ENSG00000006128.12	2666	14	57	193	84	39	2693	648	69	na	na	na	100	92	144	na	991	na	365	1481	na	2113	118	na	na	133	456	264	na	28	na	na	na	266	2542
ENSG00000006327.14	89	182	33	37	947	1461	59	97	38	36	718	1832	69	120	227	24	731	211	1956	91	265	1863	277	66	36	984	55	1371	1273	204	484	237	27	1290	143
ENSG00000006377.11	2303	362	na	860	na	1790	na	na	183	659	1505	na	na	2107	2486	402	647	956	1634	2437	na	na	na	na	1394	1256	196	2517	na	na	na	967	na	1820	187
ENSG00000006659.13	3849	459	692	1497	1380	1281	1576	136	164	53	109	102	99	2363	2100	39	38	1475	63	1289	150	60	165	946	1203	65	178	170	2245	21	990	225	70	241	156
ENSG00000011009.11	166	39	64	131	67	158	242	3401	40	66	9	93	207	285	64	35	59	1214	183	278	1307	253	11	206	34	63	442	115	3998	248	51	1352	110	32	1012
ENSG00000013392.8	1007	139	279	513	568	720	941	1031	40	307	426	574	700	836	1096	163	347	454	596	717	852	1034	160	333	430	735	679	900	1076	133	299	448	618	705	879
ENSG00000020129.16	2140	32	62	556	745	470	1506	478	19	441	125	781	1052	469	2211	536	181	1110	224	144	1153	936	463	115	86	114	1027	1551	477	206	52	260	420	3066	344
ENSG00000026025.16	839	231	397	13	na	2054	na	350	na	na	1596	64	1744	na	101	na	5	na	na	137	na	169	22	na	na	153	97	1099	na	93	na	na	96	74	na
ENSG00000033100.17	na	589	41	91	260	437	792	775	31	na	1642	51	398	96	na	63	125	na	880	639	208	175	na	861	na	na	242	893	2857	322	395	1770	na	402	341
ENSG00000034510.6	2527	379	707	1077	1487	1729	2188	2602	126	708	1097	1442	1788	2189	2545	374	702	1085	1447	1794	2113	2515	341	757	1092	1434	1859	2187	2550	355	719	1090	1447	1810	2211
ENSG00000037042.9	670	318	na	na	872	na	na	3538	na	na	1838	1726	na	401	514	274	439	1028	285	1288	1355	na	na	327	117	312	1660	na	313	220	659	1771	na	1499	964
ENSG00000037757.14	303	323	755	35	2413	1282	1207	5088	42	79	885	123	336	1538	4174	70	83	134	2119	1708	3491	305	590	89	619	2374	1512	2067	4867	57	66	1287	1196	1153	604
ENSG00000039987.7	na	141	600	58	56	2990	115	2984	na	402	45	795	984	1393	na	277	415	na	na	1226	107	4904	466	599	na	575	1969	na	254	506	513	na	na	24	290
ENSG00000041880.15	775	na	518	53	2273	187	250	3165	30	202	82	793	1029	178	312	50	1128	93	337	413	398	3010	205	220	1268	1352	321	na	825	58	56	204	65	150	3501
ENSG00000043355.12	155	na	13	na	315	586	97	139	na	na	315	na	na	na	na	na	na	na	na	na	na	48	26	na	na	na	na	525	na	49	na	586	110	na	2150
ENSG00000044012.4	1871	231	556	819	1004	1343	1645	1928	203	550	834	1013	1286	1592	1813	273	516	767	1056	1329	1569	1843	281	539	797	1081	1372	1547	1822	293	534	858	1067	1290	1574
ENSG00000048462.11	na	na	938	539	2095	64	2208	2926	181	362	1363	na	2293	2971	2617	539	na	432	2236	1464	2382	na	na	na	na	na	2674	3124	4194	427	86	na	1290	na	1273
ENSG00000048545.18	2009	275	563	831	949	1445	1605	3458	2	553	867	1115	2364	3029	3573	260	585	197	1695	1504	385	3107	37	94	133	1179	1461	1781	1936	415	578	893	1745	1427	1575
ENSG00000053372.5	835	106	1	352	288	0	1099	412	71	0	434	4	40	0	0	187	192	0	540	na	624	1027	0	373	60	13	848	592	667	85	341	311	0	793	371
ENSG00000053438.11	1064	na	14	135	99	na	na	477	na	330	133	na	800	117	684	64	279	na	67	na	na	na	35	na	na	na	254	264	na	na	na	357	116	672	na
