Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	.76	na	2.20	.53	1.44	na	5.12	1.34	na	5.97	4.75	na	.19	1.32	na	4.65	0	na	na	18.81	na	.56	2.95	na	2.62	1.68	1.18	4.50	1.77	.15	1.66	13.02	4.83	na	na
ENSG00000005513.11	1.07	na	na	.17	na	na	na	.86	0	.46	na	.32	.55	na	na	na	.94	.71	na	.86	.71	na	1.77	na	na	na	.09	.42	na	na	.52	.24	na	na	na
ENSG00000006015.18	3.55	2.02	na	1.22	1.30	na	na	na	3.19	na	na	na	2.05	na	.50	1.31	na	na	na	na	1.21	2.33	na	na	3.70	7.10	na	.50	na	na	na	na	na	na	4.10
ENSG00000006128.12	13.50	na	.78	1.04	1.00	.76	6.89	0	3.87	na	na	na	na	.19	2.17	na	9.74	na	.76	0	na	8.48	1.42	na	na	2.59	2.11	.01	na	2.09	na	na	na	1.34	14.52
ENSG00000006327.14	.27	.48	.39	.69	.37	na	.47	.98	2.75	.85	3.30	4.85	.49	2.10	1.94	.10	6.77	1.23	15.73	.11	2.47	.20	5.79	2.18	.40	3.02	.69	2.16	3.71	2.73	5.44	3.51	.10	2.75	.86
ENSG00000006377.11	2.63	0	na	4.64	na	0	na	na	1.23	2.12	0	na	na	3.35	2.99	0	0	3.93	0	.53	na	na	na	na	1.02	3.93	0	.13	na	na	na	0	na	0	0
ENSG00000006659.13	7.97	13.59	2.51	9.89	6.23	na	0	9.78	22.73	4.00	1.87	11.57	1.86	20.61	2.74	8.34	2.87	11.29	4.35	0	1.53	.37	0	8.26	0	1.35	14.76	1.67	0	2.87	13.67	5.12	1.30	na	2.62
ENSG00000011009.11	.13	1.30	.77	na	1.28	na	na	3.36	3.55	1.76	na	na	1.64	1.01	.18	3.23	1.73	14.23	1.21	1.40	na	1.24	na	9.67	.78	1.06	1.17	1.81	7.93	2.91	2.31	6.02	0	.62	na
ENSG00000013392.8	0	0	0	0	0	na	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	na	0
ENSG00000020129.16	2.27	na	0	0	0	na	3.19	.34	.14	.99	.34	.20	3.29	.64	2.26	3.72	.35	1.63	na	.22	.73	.90	5.01	1.07	na	.02	1.27	2.83	.03	.81	na	.17	na	na	0
ENSG00000026025.16	.90	0	.03	na	na	na	na	0	na	na	5.64	.32	2.82	na	.59	na	na	na	na	na	na	0	na	na	na	.05	0	.08	na	na	na	na	.70	na	na
ENSG00000033100.17	na	1.83	.55	.35	.23	na	na	.64	.55	na	2.73	0	.31	na	na	na	.65	na	1.06	.89	na	.01	na	1.01	na	na	.56	.36	2.16	na	na	3.10	na	na	.02
ENSG00000034510.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000037042.9	1.93	7.35	na	na	1.75	na	na	10.38	na	na	8.60	6.70	na	3.13	.93	3.29	5.39	4.35	2.23	.02	2.08	na	na	1.87	2.05	0	3.21	na	1.02	na	2.03	4.90	na	3.01	2.46
ENSG00000037757.14	1.17	0	1.92	.43	2.35	.01	1.50	3.70	4.45	.95	5.00	1.31	.19	1.54	6.02	1.79	1.35	na	1.81	.04	6.54	.78	2.50	.67	1.42	5.92	.46	2.04	3.99	3.60	1.38	2.61	1.38	2.62	0
ENSG00000039987.7	na	.90	4.87	0	1.17	na	0	5.49	na	2.03	.64	2.38	0	.01	na	0	0	na	na	2.73	0	4.12	4.79	3.38	na	0	4.30	na	1.38	6.06	0	na	na	0	2.46
ENSG00000041880.15	1.69	na	.09	0	4.47	.91	0	5.00	na	1.33	.21	3.04	.06	.53	.91	0	4.46	1.46	2.70	2.40	.63	7.43	.12	0	5.78	.09	.68	na	.88	na	1.13	.79	0	0	9.04
ENSG00000043355.12	na	na	na	na	2.88	na	na	na	na	na	14.50	na	na	na	na	na	na	na	na	na	na	0	na	na	na	na	na	2.81	na	na	na	0	na	na	0
ENSG00000044012.4	0	0	0	0	0	na	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000048462.11	na	na	0	2.18	7.47	na	0	.02	10.32	14.07	.10	na	4.05	21.71	12.18	6.61	na	0	16.73	0	0	na	na	na	na	na	14.67	21.85	37.84	31.27	3.27	na	0	na	4.95
ENSG00000053372.5	7.73	na	na	na	4.90	na	7.70	9.12	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	5.47	na	na	4.84	na	1.05	na	na	na	na	na	.47
ENSG00000053438.11	3.22	na	na	.43	na	na	na	na	na	4.96	1.55	na	1.35	na	na	1.63	2.99	na	na	na	na	na	na	na	na	na	.35	.45	na	na	na	na	na	na	na
ENSG00000053501.14	2.05	3.84	1.59	.52	na	na	.97	.25	4.99	6.84	3.75	2.44	.36	0	.59	1.49	1.31	1.16	1.12	.52	.44	1.84	3.89	1.06	10.11	.10	5.65	5.15	0	19.57	1.84	.30	.43	na	.27
ENSG00000054148.18	5.74	4.09	.05	1.16	1.51	4.85	1.13	na	4.74	.34	.68	0	na	.86	na	6.38	10.16	1.30	4.42	na	1.36	1.81	10.12	na	2.62	11.73	.41	.93	na	na	1.61	9.04	.90	1.33	1.59
ENSG00000057757.10	0	na	.20	5.31	1.05	na	5.47	4.91	10.22	7.56	.17	3.07	4.05	1.36	11.97	.08	7.24	9.79	4.05	13.00	0	.28	3.36	.72	1.47	.60	9.60	.32	1.09	1.64	1.72	1.55	.92	1.19	3.58
