Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	.76	na	2.20	.58	1.77	na	6.05	2.01	na	5.97	6.32	na	3.14	1.84	na	4.99	1.38	na	na	18.79	na	.56	3.90	na	2.62	2.26	1.18	5.69	1.77	6.02	1.66	12.98	7.28	na	na
ENSG00000005513.11	1.36	na	.27	.21	na	na	na	1.08	.73	.56	.07	.42	.66	na	na	na	1.23	.92	na	1.11	.91	na	2.22	na	na	na	.09	.51	na	na	.60	.32	na	.09	na
ENSG00000006015.18	3.55	2.21	.60	1.37	1.30	na	na	0	3.19	na	.14	0	2.02	0	.62	1.95	na	na	na	na	1.65	2.33	0	na	3.67	7.10	na	.50	na	0	0	na	na	na	4.10
ENSG00000006128.12	16.43	2.39	1.12	1.32	1.44	.81	7.89	1.59	7.53	na	na	na	.44	.30	2.14	na	11.11	na	1.09	5.94	na	8.47	2.12	na	na	2.52	2.94	.60	na	2.09	na	na	na	2.25	15.14
ENSG00000006327.14	.27	5.04	.57	.73	4.03	na	.60	.98	2.75	1.18	3.30	4.82	.51	2.05	1.94	2.19	6.71	3.28	15.80	.95	2.47	2.76	5.79	4.09	.73	6.17	1.69	4.05	6.46	2.73	9.30	3.62	.95	2.75	.86
ENSG00000006377.11	5.21	4.05	na	9.38	na	1.60	na	na	3.23	4.14	6.27	na	na	6.26	6.10	5.55	3.47	6.83	4.45	.89	na	na	na	na	1.85	7.58	.90	.27	na	na	na	1.92	na	3.38	.83
ENSG00000006659.13	7.99	13.59	11.42	9.97	10.71	na	14.34	9.78	23.14	4.00	1.87	11.57	3.11	20.76	5.00	8.34	2.87	11.29	4.48	10.91	2.72	.62	11.45	8.34	13.36	2.57	14.76	4.86	21.50	2.87	13.81	5.12	2.74	na	2.62
ENSG00000011009.11	.98	1.49	1.22	.66	1.47	na	0	3.72	3.55	1.76	0	.20	1.86	1.04	.39	3.23	1.80	15.30	1.65	1.44	2.45	1.48	.61	9.67	.78	1.55	1.17	1.83	8.00	2.91	2.49	6.72	1.09	.62	3.91
ENSG00000013392.8	2.55	2.91	2.62	2.59	2.85	na	2.84	2.61	2.75	2.80	2.60	2.84	2.64	2.58	2.94	3.12	3.27	2.74	2.87	2.79	2.62	2.81	2.52	2.80	2.40	2.91	2.39	2.63	2.65	1.97	2.79	2.48	2.79	na	2.53
ENSG00000020129.16	2.27	.61	.77	2.05	1.79	na	3.19	.34	.39	3.03	.55	.80	3.29	1.13	2.26	3.72	na	1.63	.17	.22	1.46	1.71	5.01	1.05	.49	.51	3.73	5.32	.07	1.12	.08	.39	na	na	1.09
ENSG00000026025.16	.90	3.30	.78	.15	na	na	na	.31	na	na	5.64	.38	2.79	na	.58	na	.04	na	na	.17	na	1.29	.97	na	na	.77	.93	1.03	na	1.48	na	na	.70	na	na
ENSG00000033100.17	na	1.80	.55	.35	.32	na	.16	.63	.95	na	2.72	.35	.59	.10	na	.49	na	na	1.06	.89	.05	.33	na	1.01	na	na	.56	.36	2.17	.55	.07	3.10	na	na	.50
ENSG00000034510.6	24.29	23.92	24.14	24.27	24.12	23.99	23.86	23.90	24.41	24.46	23.97	24.14	23.72	24.11	23.91	23.22	24.34	24.02	24.00	24.00	24.27	24.25	23.72	23.95	24.40	24.19	23.90	24.07	23.67	24.66	23.82	23.89	24.23	24.03	24.30
ENSG00000037042.9	1.93	7.24	na	na	1.75	na	na	10.35	na	na	8.60	6.77	na	3.13	.95	3.29	5.39	4.37	2.25	6.13	3.82	na	na	1.91	2.05	1.42	3.23	na	1.02	5.53	2.03	4.90	na	3.08	2.50
ENSG00000037757.14	1.17	.63	1.92	.43	2.33	2.91	1.50	3.70	4.45	.95	6.06	1.31	.21	3.05	6.03	1.79	1.35	.67	1.81	2.90	6.53	.78	2.50	.80	1.42	5.89	.85	2.18	3.98	3.60	1.38	2.61	3.76	2.60	.68
ENSG00000039987.7	na	1.22	4.90	.54	1.17	na	1.02	5.49	na	2.03	.64	2.36	1.57	5.99	na	1.21	3.18	na	na	2.73	.96	4.12	4.79	3.38	na	3.10	4.30	na	1.38	6.10	1.73	na	na	.26	2.46
ENSG00000041880.15	1.69	na	2.03	.48	4.44	.91	.47	5.00	.16	1.33	.21	3.04	1.51	.53	.91	1.64	4.46	1.46	2.70	2.36	.62	7.42	1.27	1.04	5.80	2.24	.68	na	.88	.51	1.07	.79	.65	1.48	9.01
ENSG00000043355.12	0	na	0	na	3.00	na	0	0	na	na	23.07	na	na	na	na	na	na	na	na	0	na	1.57	0	na	na	na	na	4.77	na	2.39	na	4.74	0	na	5.26
ENSG00000044012.4	28.67	30.28	29.71	26.66	28.96	na	27.72	27.44	29.50	28.18	27.66	28.84	29.87	28.34	28.62	28.69	29.81	29.17	27.23	28.58	27.80	29.20	28.02	28.58	27.52	28.83	28.25	29.15	29.26	28.76	29.36	27.49	29.53	28.50	29.16
ENSG00000048462.11	na	na	10.42	4.60	7.47	na	7.52	8.45	10.09	14.01	9.28	na	8.52	21.70	12.17	6.61	na	7.19	16.65	8.55	5.93	na	na	na	na	na	14.66	21.84	37.80	31.17	3.27	na	10.22	na	4.98
ENSG00000048545.18	4.57	2.35	5.72	3.41	8.60	na	2.95	12.64	7.25	3.17	5.24	4.12	5.89	9.84	9.94	3.10	1.70	.95	4.12	4.83	1.42	4.63	1.44	1.74	1.09	5.35	5.24	4.85	4.03	3.58	1.56	3.84	8.39	na	1.79
ENSG00000053372.5	7.74	7.29	0	6.84	4.90	na	7.71	9.12	8.99	0	4.48	0	0	0	0	9.72	3.44	0	2.91	7.42	6.92	3.56	0	5.43	0	0	4.84	13.48	3.73	2.11	9.56	13.99	0	6.77	1.30
ENSG00000053438.11	3.97	na	.09	.55	.55	na	na	1.23	na	6.08	1.96	na	1.72	.02	1.04	1.63	na	na	.12	na	na	na	.89	na	na	na	.44	.56	na	na	na	1.95	na	na	na
ENSG00000053501.14	2.05	3.84	1.59	3.51	4.79	na	.97	.25	4.99	6.80	3.92	2.37	.36	5.99	.59	1.70	1.31	1.93	1.76	.61	2.95	1.82	4.02	1.06	10.07	.14	9.17	5.15	9.07	19.77	3.18	2.01	3.99	na	.45
ENSG00000054148.18	5.74	4.22	13.83	1.31	5.66	5.18	3.48	na	4.74	1.15	1.96	5.41	na	.86	na	7.50	10.11	1.25	8.27	na	3.69	1.88	13.42	na	2.83	12.36	.41	2.41	na	na	2.67	9.04	2.97	2.99	1.64
