Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	32	na	36	12	53	na	304	131	na	117	115	na	112	87	na	42	20	na	na	607	na	28	28	na	53	88	50	283	83	39	33	290	198	na	na
ENSG00000005513.11	346	na	18	23	na	na	na	273	27	44	9	65	125	na	na	na	97	105	na	216	187	na	78	na	na	na	19	123	na	na	47	36	na	18	na
ENSG00000006015.18	197	22	13	56	38	na	na	0	42	na	6	0	64	0	66	24	na	na	na	na	170	246	0	na	121	274	na	25	na	0	0	na	na	na	251
ENSG00000006128.12	1192	17	23	28	56	32	450	95	68	na	na	na	20	19	101	na	198	na	30	248	na	507	18	na	na	77	125	35	na	20	na	na	na	96	879
ENSG00000006327.14	19	53	13	20	143	na	31	62	27	18	90	162	23	85	113	22	97	86	553	40	98	182	49	66	20	224	37	177	303	29	186	98	27	147	40
ENSG00000006377.11	376	66	na	484	na	78	na	na	58	112	365	na	na	598	622	105	87	258	327	97	na	na	na	na	91	466	70	31	na	na	na	95	na	304	76
ENSG00000006659.13	407	93	133	218	242	na	599	458	172	53	33	341	99	872	217	53	38	238	101	368	116	32	70	94	292	65	555	170	1201	19	165	91	70	na	115
ENSG00000011009.11	58	15	19	18	54	na	0	203	30	30	0	7	77	61	25	29	26	374	66	73	112	82	5	174	18	44	51	89	505	23	41	180	36	28	126
ENSG00000013392.8	680	111	200	297	436	na	651	697	105	214	298	433	503	590	785	119	250	314	438	532	599	752	96	214	274	444	455	601	708	75	213	284	426	na	579
ENSG00000020129.16	408	12	27	150	193	na	412	70	11	86	38	83	314	211	328	93	na	126	20	24	206	228	109	54	16	39	340	600	19	22	2	32	na	na	91
ENSG00000026025.16	59	34	22	5	na	na	na	36	na	na	291	20	172	na	41	na	1	na	na	13	na	147	14	na	na	42	57	65	na	17	na	na	39	na	na
ENSG00000033100.17	na	52	28	27	36	na	30	122	26	na	207	36	83	16	na	14	na	na	136	113	8	57	na	73	na	na	76	59	407	11	5	220	na	na	99
ENSG00000034510.6	876	122	247	375	496	616	734	857	126	252	368	496	607	745	859	118	251	370	492	618	750	873	121	246	378	499	614	743	847	127	244	367	500	616	752
ENSG00000037042.9	212	127	na	na	119	na	na	1222	na	na	568	457	na	199	115	55	176	258	253	500	342	na	na	61	108	65	224	na	70	92	57	379	na	190	194
ENSG00000037757.14	138	12	61	21	150	254	217	379	65	27	293	43	11	335	773	27	26	24	120	213	624	99	60	31	72	361	72	170	292	43	29	97	181	232	49
ENSG00000039987.7	na	19	152	32	51	na	115	599	na	54	35	165	148	694	na	24	116	na	na	193	97	547	81	96	na	234	335	na	201	125	69	na	na	21	248
ENSG00000041880.15	145	na	64	20	344	47	48	418	2	54	10	181	111	51	117	21	103	48	197	184	62	927	21	21	238	141	47	na	85	10	35	27	40	118	724
ENSG00000043355.12	0	na	0	na	47	na	0	0	na	na	351	na	na	na	na	na	na	na	na	0	na	35	0	na	na	na	na	89	na	15	na	182	0	na	784
ENSG00000044012.4	1373	209	410	541	793	na	1128	1305	203	383	563	793	1028	1163	1373	196	410	601	739	975	1134	1404	190	389	558	785	967	1199	1403	195	402	556	809	974	1199
ENSG00000048462.11	na	na	148	94	239	na	310	398	77	189	187	na	314	889	606	53	na	161	495	315	224	na	na	na	na	na	548	916	1650	202	51	na	314	na	223
ENSG00000048545.18	726	42	219	204	613	na	337	1516	143	126	381	349	620	1101	1305	66	59	69	362	568	204	706	35	84	80	526	659	673	622	79	54	234	641	na	190
ENSG00000053372.5	464	46	0	140	153	na	662	263	68	0	159	0	0	0	0	81	77	0	157	2	295	346	0	138	0	0	271	291	198	20	168	157	0	344	44
