Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	94.02	na	90.15	65.27	76.59	41.51	78.88	75.89	na	59.50	63.11	na	66.20	71.93	na	44.52	94.52	na	na	13.19	na	97.61	66.91	na	75.39	73.66	94.68	73.09	90.02	67.04	97.37	38.07	67.62	75.45	na
ENSG00000005513.11	94.19	na	98.78	99.54	na	92.86	na	94.65	97.51	98.94	99.78	99.11	98.85	na	na	na	93.80	98.44	na	na	95.68	na	93.75	na	na	na	98.72	99.08	na	na	99.04	99.45	na	97.88	na
ENSG00000006015.18	96.44	84.44	97.14	73.60	90.16	68.61	na	100.00	na	na	98.53	99.66	91.83	100.00	97.76	88.54	na	na	na	na	91.17	79.88	100.00	83.16	83.16	62.97	na	95.69	na	88.91	97.16	na	na	100.00	49.17
ENSG00000006128.12	65.37	98.04	97.22	91.11	97.83	99.00	56.44	89.49	92.35	na	na	na	97.78	98.52	96.94	na	51.27	na	87.27	67.91	na	67.87	86.63	na	na	95.65	89.56	95.50	na	97.06	na	na	na	93.85	61.69
ENSG00000006327.14	98.71	83.42	98.55	98.65	75.41	70.98	98.84	98.45	96.14	97.64	75.62	53.34	98.44	97.09	96.10	97.60	55.83	91.95	50.51	97.83	93.24	74.25	70.40	95.90	98.67	74.91	97.48	71.53	74.77	81.81	77.00	91.22	99.04	77.51	96.92
ENSG00000006377.11	70.95	78.73	na	84.03	na	67.41	na	na	89.93	77.14	75.96	na	na	79.09	77.19	79.82	75.88	77.04	79.14	79.16	na	na	na	na	74.26	79.96	97.47	79.09	na	na	na	81.50	na	80.88	97.95
ENSG00000006659.13	39.26	45.74	50.64	45.85	49.90	59.47	65.33	96.59	77.37	95.99	93.86	95.81	96.88	42.56	58.82	93.76	97.12	45.02	97.17	65.62	96.49	98.83	73.80	35.64	53.02	97.42	94.39	95.13	61.58	96.81	35.16	87.71	97.25	92.56	96.45
ENSG00000011009.11	97.19	96.13	95.86	95.26	98.16	96.58	94.79	51.25	95.24	96.14	99.67	97.27	95.00	95.13	98.94	96.09	95.92	56.12	95.44	94.55	73.71	95.45	98.64	88.59	98.52	97.77	89.95	97.62	44.83	68.44	96.90	53.84	96.67	99.29	71.41
ENSG00000013392.8	96.23	96.35	96.34	95.53	96.28	96.23	95.90	96.14	98.93	95.98	96.28	96.24	96.33	96.35	95.90	95.74	95.46	96.04	96.10	96.24	96.28	96.13	95.82	95.65	96.24	95.20	96.44	96.07	95.98	96.51	96.08	96.09	95.96	96.30	96.16
ENSG00000020129.16	88.39	98.35	98.21	92.50	93.14	97.08	88.62	97.61	99.31	85.08	98.18	92.54	89.23	97.46	85.34	79.84	96.47	86.16	98.09	98.66	92.01	93.06	79.77	97.74	97.79	98.50	88.96	86.70	97.99	89.82	97.87	96.82	96.82	76.82	95.91
