Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_900
ENSG00000004059.11	99.80%	na	97.90%	100.00%	97.61%	na	97.61%	93.87%	na	99.90%	100.00%	na	98.34%	100.00%	na	98.31%	99.58%	na	na	100.00%	na	94.96%	100.00%	na	98.34%	97.61%	97.90%	100.00%	99.80%	97.38%	93.87%	100.00%	97.61%	na
ENSG00000005513.11	99.51%	na	99.50%	99.45%	na	na	na	99.45%	99.45%	99.50%	99.45%	99.52%	99.51%	na	na	na	99.52%	99.45%	na	99.45%	99.52%	na	99.51%	na	na	na	99.45%	99.45%	na	na	99.52%	99.45%	na	na
ENSG00000006015.18	99.98%	99.98%	99.98%	97.90%	95.97%	na	na	95.97%	99.98%	na	99.98%	95.51%	99.98%	92.87%	99.98%	94.96%	na	na	na	na	96.03%	95.51%	96.03%	na	99.98%	99.98%	na	95.05%	na	99.98%	99.98%	na	na	99.98%
ENSG00000006128.12	99.23%	99.23%	99.23%	99.23%	99.23%	93.54%	99.23%	99.23%	99.23%	na	na	na	99.23%	99.23%	99.23%	na	99.23%	na	99.23%	99.23%	na	99.23%	99.23%	na	na	99.23%	99.23%	99.23%	na	99.23%	na	na	na	99.23%
ENSG00000006327.14	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000006377.11	100.00%	100.00%	na	100.00%	na	100.00%	na	na	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	na	na	100.00%	100.00%	100.00%	100.00%	na	na	na	100.00%	na	100.00%
ENSG00000006659.13	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	97.96%	100.00%	100.00%	100.00%	97.96%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	97.11%	100.00%	100.00%	100.00%	97.96%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000011009.11	85.59%	87.62%	87.62%	88.60%	85.02%	na	85.17%	86.09%	81.04%	82.17%	83.65%	86.90%	86.79%	86.79%	87.63%	87.32%	86.20%	86.09%	79.50%	86.79%	85.66%	87.62%	85.64%	80.30%	82.91%	86.99%	84.85%	85.59%	85.91%	82.87%	87.19%	84.63%	88.14%	85.60%
ENSG00000013392.8	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000020129.16	89.26%	99.31%	93.68%	93.47%	81.28%	na	92.87%	98.79%	94.64%	88.52%	92.30%	89.78%	97.17%	99.31%	85.43%	89.65%	na	88.50%	90.56%	87.97%	94.10%	90.45%	93.38%	99.31%	88.94%	99.27%	85.88%	94.00%	93.74%	87.51%	88.88%	92.36%	na	86.97%
