Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	96.36%	na	89.36%	98.85%	97.27%	98.26%	98.22%	98.23%	na	98.29%	97.76%	na	99.00%	98.93%	na	96.62%	99.01%	na	na	99.54%	na	96.68%	98.17%	na	99.16%	98.23%	97.02%	96.53%	97.56%	98.18%	97.37%	98.07%	95.48%	98.08%	na
ENSG00000005513.11	93.95%	na	96.19%	93.97%	na	93.11%	na	95.16%	96.51%	95.20%	96.36%	94.20%	95.43%	na	na	na	93.94%	96.39%	na	na	94.34%	na	93.95%	na	na	na	94.72%	94.74%	na	na	95.42%	96.37%	na	96.31%	na
ENSG00000006015.18	91.46%	92.68%	89.20%	90.29%	95.59%	96.10%	na	90.88%	na	na	79.98%	93.27%	91.67%	89.28%	91.61%	93.85%	na	na	na	na	88.71%	92.47%	91.64%	97.99%	87.75%	95.57%	na	85.79%	na	98.62%	83.49%	na	na	90.88%	95.46%
ENSG00000006128.12	98.57%	94.19%	90.74%	97.49%	99.88%	91.46%	98.05%	94.19%	91.85%	na	na	na	90.59%	100.00%	89.43%	na	98.73%	na	97.39%	99.84%	na	91.65%	95.48%	na	na	91.54%	95.42%	99.90%	na	99.88%	na	na	na	94.13%	95.15%
ENSG00000006327.14	96.38%	95.56%	97.08%	98.04%	96.85%	98.38%	99.27%	96.66%	97.38%	97.37%	97.47%	97.07%	97.03%	98.98%	100.00%	99.00%	96.20%	97.11%	96.97%	96.86%	97.23%	98.40%	97.52%	97.58%	99.52%	98.73%	97.75%	98.30%	98.17%	97.82%	98.96%	97.04%	97.63%	98.67%	96.87%
ENSG00000006377.11	95.88%	95.96%	na	98.12%	na	96.22%	na	na	83.16%	95.37%	96.54%	na	na	95.83%	95.91%	96.46%	96.01%	95.90%	97.07%	97.65%	na	na	na	na	96.57%	95.89%	85.82%	95.53%	na	na	na	97.10%	na	100.00%	85.71%
ENSG00000006659.13	89.25%	90.53%	100.00%	90.53%	100.00%	100.00%	97.50%	77.15%	87.88%	91.84%	95.69%	78.25%	91.79%	96.09%	100.00%	87.86%	91.87%	90.53%	91.17%	97.50%	87.95%	92.75%	99.21%	91.94%	97.61%	91.84%	77.15%	91.79%	97.49%	89.59%	91.94%	96.96%	91.93%	86.25%	87.68%
ENSG00000011009.11	99.43%	93.01%	96.20%	99.27%	92.16%	93.68%	96.00%	91.22%	85.54%	96.02%	95.60%	99.54%	96.93%	95.72%	93.16%	94.98%	95.47%	100.00%	100.00%	100.00%	94.85%	97.57%	93.92%	95.63%	93.89%	96.01%	94.83%	94.40%	94.21%	91.87%	94.62%	92.67%	94.46%	95.06%	90.85%
ENSG00000013392.8	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	52.44%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000020129.16	94.63%	88.96%	86.18%	90.92%	94.82%	93.58%	85.78%	92.92%	95.97%	93.63%	89.22%	93.94%	90.99%	95.49%	80.73%	88.91%	84.52%	91.82%	97.73%	85.59%	82.12%	92.46%	91.77%	88.87%	86.83%	87.26%	84.15%	82.90%	98.62%	83.61%	82.64%	89.70%	96.09%	97.81%	90.54%
